symptoms,medicine,description,precautions,category
"high fever body ache chills shivering hot skin high temperature sweating","Paracetamol","Common analgesic and antipyretic to reduce fever and relieve minor pains.","Take after food. Avoid alcohol. Max 4 doses in 24 hours.","general"
"mild fever constant headache extreme fatigue sore muscles slight temperature","Ibuprofen","NSAID used for reducing high fever and relieving body inflammation.","Take with a meal. Do not use if you have stomach ulcers.","general"
"fever sore throat dry cough fatigue body aches viral cold symptoms","Paracetamol / Vitamin C","Supportive treatment for viral fever and cold symptoms.","Rest adequately keep hydrated isolate if contagious.","general"
"dry cough tickling in throat persistent coughing fits hacking cough cough without phlegm","Dextromethorphan Syrup","Cough suppressant for non-productive dry cough.","May cause drowsiness avoid driving. Follow dosage cup.","respiratory"
"wet cough chest congestion phlegm heavy breathing productive cough mucus in chest","Guaifenesin Syrup","Expectorant to loosen chest congestion and mucus.","Drink plenty of water to help thin mucus.","respiratory"
"severe sore throat difficulty swallowing red tonsils throat pain scratchy throat","Lozenges / Paracetamol","Relief for inflamed throat tissues and pain.","Avoid cold drinks talk less consult doctor if white patches appear.","respiratory"
"runny nose sneezing nasal congestion watery eyes cold allergy rhinitis","Cetirizine","Antihistamine for seasonal allergies and running nose.","May cause mild drowsiness. Take at night.","respiratory"
"stuffy nose blocked sinuses facial pressure sinus headache blocked nasal passage","Pseudoephedrine","Decongestant for clearing blocked nasal passages.","Can increase heart rate use with caution if hypertensive.","respiratory"
"wheezing shortness of breath chest tightness asthma difficulty breathing anoxia","Salbutamol Inhaler","Bronchodilator to open airways quickly.","Use only as prescribed. Keep inhaler clean.","respiratory"
"acid reflux heartburn sour burps chest burning acidity indigestion acid rising","Antacid Gel (Magaldrate/Simethicone)","Neutralizes stomach acid and relieves gas.","Take 30 mins after meals. Chew properly if tablet.","gastrointestinal"
"severe stomach ache bloating indigestion heavy feeling abdominal pain belly ache","Domperidone / Pantoprazole","Prokinetic and acid reducer for upper GI discomfort.","Take 30 minutes before breakfast.","gastrointestinal"
"watery diarrhea loose stools stomach cramps urge to go loose motion bowel issue","Loperamide","Anti-diarrheal medication to slow bowel movements.","Stop once stools harden. Drink oral rehydration salts (ORS).","gastrointestinal"
"nausea vomiting feeling sick throwing up pale skin urge to vomit puking","Ondansetron","Anti-emetic to prevent or stop nausea and vomiting.","Place tablet under tongue or swallow with water.","gastrointestinal"
"gas bloating flatulence trapped wind stomach rumble passing gas farting","Simethicone","Anti-foaming agent to break up gas bubbles in the gut.","Chew tablets thoroughly. Avoid gas-producing foods.","gastrointestinal"
"burning sensation during urination frequent urge to pee lower abdominal pain uti burning urine","Alkalizer (Disodium Hydrogen Citrate)","Urine alkalizer for soothing urinary tract irritation.","Mix syrup in a full glass of water. Consult doctor for antibiotics.","urinary"
"sharp pain in lower back radiating to groin bloody urine kidney stone pain flank pain","Analgesic / Antispasmodic","Pain relief for suspected kidney stone pain.","Drink excessive water immediately seek medical care.","urinary"
"painful urination cloudy urine pelvic pressure continuous need to urinate uti symptom","Cranberry Extract / Alkalizer","Natural relief and pH balancer for urinary discomfort.","Increase water intake substantially. Seek culture text.","urinary"
"mild headache throbbing head pain sensitivity to light tension headache dull ache in head","Aspirin / Paracetamol","Pain reliever for tension or mild migraine headaches.","Take with milk or food. Do not give to children under 16.","neurological"
"severe migraine aura one sided head pain nausea extreme headache light sensitivity","Sumatriptan","Specific medication for migraine attacks.","Take at onset of migraine pain.","neurological"
"facial nerve pain shooting head pain extreme sudden headache nerve ache","Gabapentin / Carbamazepine","Prescription relief for severe nerve-related pain.","Drowsiness expected. Prescription only consult doctor.","neurological"
"back pain lower back pain stiff back difficulty bending muscle spasm spinal ache lumbago","Muscle Relaxant / Ibuprofen","Relieves musculoskeletal pain and spasm in the back.","Apply hot compress rest on firm mattress. Maintain good posture.","musculoskeletal"
"upper back pain neck pain shoulder pain stiff neck cervical pain shoulder stiffness","Diclofenac Gel / Ibuprofen","Relieves upper back and neck muscular pain.","Avoid awkward sleeping postures. Use a supportive pillow.","musculoskeletal"
"joint pain swollen knees stiffness morning ache arthritis pain knee pain wrist pain ankle pain","Diclofenac Gel / Tablet","Strong NSAID for joint inflammation and arthritis.","Apply topically first. If oral take strictly after meals.","musculoskeletal"
"muscle cramp calf pain twitching leg ache charley horse muscle spasm in leg","Magnesium Supplement","Helps in muscle relaxation and preventing cramps.","Stay hydrated stretch muscles gently before sleep.","musculoskeletal"
"toothache swollen gums jaw pain sharp tooth pain cavity pain dental pain bleeding gums","Clove Oil / Benzocaine Gel","Local anesthetic and counter-irritant for dental pain.","Apply locally on tooth cavity do not swallow. Visit dentist.","dental"
"sensitive teeth cold feeling in tooth sharp pain on eating cold food or sugary food","Desensitizing Toothpaste","Reduces tooth sensitivity by blocking exposed dentin channels.","Brush gently twice a day. Avoid acidic juices.","dental"
"itchy skin red bumps hives rashes spreading skin allergy allergic reaction on skin contact dermatitis","Hydrocortisone Cream","Topical steroid for suppressing allergic skin reactions.","Apply thin layer. Do not use on broken skin.","general"
"sneezing itchy eyes scratchy throat season change seasonal allergy pollen allergy hay fever","Fexofenadine","Non-drowsy antihistamine for allergy symptoms.","Avoid fruit juices like grapefruit or apple while taking.","respiratory"
"bee sting wasp sting red swollen skin localized pain bug bite insect sting swelling from bite","Antihistamine / Ice Pack","Reduces histamine response to insect venom.","Remove stinger if present. Wash with soap and water.","general"
"red eye watery eye sticky discharge crusty eyelashes conjunctivitis pink eye itchy eye","Antibiotic Eye Drops","Treatment for bacterial conjunctivitis (pink eye).","Do not touch dropper tip to eye. Wash hands frequently.","general"
"minor earache dull pain inside ear popping sound ear pain blocked ear fluid in ear","Analgesic Ear Drops","Relieves mild congestive ear pain.","Do not put drops if eardrum is ruptured.","general"
"mouth ulcer white patch inner cheek pain burning mouth canker sore sore inside mouth","Choline Salicylate Gel","Numbs mouth ulcers for temporary relief.","Apply small amount on ulcer before meals.","dental"
"minor burn red skin burning sensation on finger scald hot water burn superficial burn","Aloe Vera / Silver Sulfadiazine","Soothes thermal burns and prevents infection.","Cool under running water first. Do not burst blisters.","general"
"cut bleeding scraped knee wound dirt skin abrasion surface cut paper cut","Povidone Iodine Ointment","Antiseptic to clean wounds and prevent bacterial growth.","Clean wound with water apply ointment and bandage.","general"
"insomnia difficulty falling asleep wide awake at night sleeplessness cannot sleep wakeful night","Melatonin","Supplement to regulate sleep-wake cycles.","Take 30 mins before desired sleep time suppress room light.","neurological"
"motion sickness dizziness travelling nausea car sick sea sickness vertigo feeling dizzy","Dimenhydrinate","Prevents nausea associated with vehicle motion.","Take 1 hour before travel. Will cause drowsiness.","general"
"fungal infection itchy toes ringworm cracked skin athlete foot jock itch fungal rash","Clotrimazole Cream","Topical anti-fungal to kill fungi on skin.","Wash and dry area completely before applying.","general"
"dandruff flaky scalp itchy head white flakes dry scalp seborrheic dermatitis","Ketoconazole Shampoo","Medicated shampoo for severe fungal dandruff.","Leave lather on scalp for 5 mins before rinsing.","general"
"bad breath swollen gums minor bleeding teeth halitosis poor oral hygiene gum disease","Chlorhexidine Mouthwash","Antibacterial rinse to improve oral hygiene.","Use after brushing do not swallow maintain dental care.","dental"
"constipation hard stools straining to pass irregular bowels difficulty pooping blocked bowel","Bisacodyl / Psyllium Husk","Laxative or roughage to stimulate bowel movement.","Drink plenty of water. Increase fiber in daily diet.","gastrointestinal"
"hemorrhoids piles pain while sitting rectal bleeding painful bowel movement swollen veins in rectum","Hydrocortisone Suppository","Reduces inflammation and pain in anal area.","Eat high fiber diet avoid excessive straining on toilet.","gastrointestinal"
"cold sore lip blister tingling on lip corner herpes simplex oral blister fever blister","Acyclovir Cream","Antiviral for herpes simplex cold sores.","Apply at earliest sign of tingling. Wash hands after use.","general"
"heavy sweating fast heartbeat sudden chest pain left arm numbness heart attack symptoms cardiac arrest","Emergency Hospital Visit","CRITICAL: Possible heart attack symptoms.","Do NOT drive yourself. Call ambulance chew aspirin if doctor advised.","general"
"sudden weakness one side face drooping slurred speech stroke symptoms paralysis numbness","Emergency Hospital Visit","CRITICAL: Possible stroke symptoms.","Time is brain. Rush to ER immediately.","neurological"
"high fever stiff neck confusion sensitivity to bright light meningitis symptoms throbbing head intense vomiting","Emergency Hospital Visit","CRITICAL: Possible meningitis symptoms.","Requires immediate IV antibiotics and medical evaluation.","neurological"
"severe sharp abdominal pain right lower side fever vomiting appendicitis symptoms extreme belly pain","Emergency Hospital Visit","CRITICAL: Possible appendicitis.","Do not eat or drink anything go to ER to rule out rupture.","gastrointestinal"
"unexplained weight loss excessive thirst frequent urination sweet smelling urine fatigue diabetes symptoms","Consult Endocrinologist","Symptoms pointing to suspected diabetes.","Fast for 8 hours and get a blood sugar test done.","general"
"pale skin chronic fatigue shortness of breath feeling cold anemia iron deficiency weak and tired","Iron Supplement","Treats iron deficiency anemia.","Take with orange juice. May cause dark stools.","general"
"dizziness vertigo room spinning lightheaded losing balance woozy","Meclizine / Betahistine","Treats instances of vertigo and balance disorders.","Do not operate heavy machinery. Move slowly from seated positions.","neurological"
"sore muscles muscle ache post workout pain delayed onset muscle soreness doms general muscle fatigue","Epsom Salt Bath / Ibuprofen","Reduces muscular tension and inflammation.","Rest and hydrate. Gently stretch affected muscles.","musculoskeletal"
"painful periods menstrual cramps dysmenorrhea lower abdominal ache during period period pain","Mefenamic Acid / Drotaverine","Relieves smooth muscle spasms and period pain.","Use a heating pad. Take medication preferably after food.","general"
"dry eyes scratchy eyes gritty feeling in eyes screen fatigue tired eyes","Artificial Tears","Lubricating eye drops to relieve dry irritated eyes.","Blink frequently while using screens. Use drops as needed.","general"
